#键	计数	中位键角	p05	p95	均值
C	3	1	5	7	16	125.7	121.7	133.6	127.0500
N	3	0	8	0	16	112.9	110.2	120.4	113.7125
C	4	0	28	28	16	113.6	109.3	122.7	113.8063
N	4	0	5	5	15	104.9	100.8	109.1	104.4800
S	4	0	7	0	15	107.9	106.0	120.5	109.8200
S	3	0	6	6	15	97.3	93.8	101.5	97.7867
P	4	1	6	0	15	108.7	101.3	113.9	109.3000
S	3	0	5	0	14	106.8	99.0	112.5	106.3214
S	4	0	6	6	14	105.3	100.8	108.9	104.9500
C	4	0	9	9	13	114.8	109.0	122.0	116.2000
C	4	0	6	8	13	113.8	106.6	117.9	113.4308
N	3	0	3	3	12	61.3	55.2	62.5	61.0583
N	3	0	4	4	12	94.3	78.2	96.6	91.8250
C	3	0	8	8	12	122.9	112.0	128.7	121.9500
O	2	1	6	6	11	117.3	115.0	117.4	117.0182
C	3	0	28	28	11	126.7	111.3	131.4	126.1727
C	3	0	5	7	10	126.2	121.1	129.6	125.9000
O	2	0	8	8	8	113.7	104.2	116.5	113.1625
C	4	0	16	16	8	113.3	111.0	116.5	114.1500
N	3	0	8	8	8	131.0	118.3	136.1	128.8875
C	3	1	5	16	8	125.3	124.8	130.9	127.9125
C	3	1	16	0	8	117.0	116.5	119.8	118.1750
C	3	0	3	0	8	139.1	105.7	154.7	138.4250
S	3	0	5	5	7	95.8	93.9	97.6	95.7857
P	4	0	5	5	7	96.4	93.4	99.6	95.8000
S	2	0	4	4	6	77.9	75.2	82.7	78.6833
P	4	0	6	6	6	101.5	98.7	105.4	101.7000
Cl	4	0	0	0	6	109.5	106.8	110.8	109.4667
N	4	0	9	0	5	105.6	105.4	111.9	107.7000
N	4	0	3	0	5	115.9	112.6	123.4	116.4600
N	4	0	7	0	5	110.2	102.2	114.4	109.0200
C	3	0	6	7	5	119.8	119.6	120.7	119.9400
S	4	1	5	0	5	109.9	103.9	110.4	108.9000
S	4	1	6	0	5	110.3	100.5	114.8	109.9200
N	4	0	4	0	5	113.0	109.5	116.0	113.1400
N	3	0	5	7	4	124.6	124.6	128.5	126.5500
Si	4	0	16	16	4	110.1	108.8	111.9	110.2750
C	3	0	16	0	4	121.3	120.9	122.0	121.4750
C	4	0	10	10	4	112.7	112.7	112.7	112.7000
C	2	0	10	10	4	173.7	173.7	173.7	173.7000
S	4	0	4	4	4	75.6	75.4	79.0	76.4750
