#键	计数	中位键长	p05	p95	均值
C	Si	1	16	4	1.913	1.898	1.924	1.9132
O	Si	1	16	4	1.671	1.671	1.676	1.6723
N	O	1	6	4	1.417	1.396	1.465	1.4343
C	C	1	10	4	1.466	1.466	1.466	1.4660
C	S	1	10	4	1.826	1.826	1.826	1.8260
Cl	O	1	0	4	1.446	1.446	1.664	1.5008
N	N	1	3	3	1.347	1.346	1.37	1.3543
C	P	2	0	3	1.757	1.731	1.763	1.7503
C	N	2	8	3	1.277	1.275	1.341	1.2977
Br	N	1	0	2	1.863	1.863	1.868	1.8655
O	S	ar	5	2	1.668	1.668	1.668	1.6680
C	N	1	9	2	1.529	1.529	1.532	1.5305
C	C	3	10	2	1.202	1.202	1.202	1.2020
N	Si	1	0	2	1.657	1.657	1.667	1.6620
I	O	1	0	2	1.948	1.948	1.948	1.9480
F	S	1	0	2	1.592	1.592	1.592	1.5920
C	O	1	28	2	1.361	1.361	1.449	1.4050
C	O	1	4	2	1.453	1.453	1.454	1.4535
S	S	ar	5	2	2.027	2.027	2.027	2.0270
C	S	1	3	2	1.649	1.649	1.654	1.6515
N	O	1	3	2	1.382	1.382	1.385	1.3835
O	P	1	6	2	1.615	1.615	1.617	1.6160
N	N	2	3	1	1.247	1.247	1.247	1.2470
N	P	1	5	1	1.652	1.652	1.652	1.6520
P	S	1	5	1	2.073	2.073	2.073	2.0730
C	C	2	8	1	1.342	1.342	1.342	1.3420
N	N	2	4	1	1.267	1.267	1.267	1.2670
N	S	1	4	1	1.667	1.667	1.667	1.6670
N	P	1	6	1	1.652	1.652	1.652	1.6520
N	S	ar	6	1	1.676	1.676	1.676	1.6760
S	S	1	3	1	2.161	2.161	2.161	2.1610
C	C	2	3	1	1.277	1.277	1.277	1.2770
F	P	1	0	1	1.563	1.563	1.563	1.5630
