#mols	149
0	7	1,2
0	513	2
0	514	2
1	7	1,3
1	71	1,2,3
1	443	1,2,3
5	4	4,5
5	7	1,2
5	489	5
5	492	5
5	506	5
5	507	5
5	513	2
5	514	2
17	7	1,3
17	71	1,2,3
17	443	1,2,3
23	7	0,1
23	513	1
23	514	1
26	1	0,1,2,3|2,3,4,5
27	1	0,1,2,3|2,3,4,5
33	756	0,1,4,5
33	757	0,1,4,5
34	756	0,1,4,5
34	757	0,1,4,5
35	756	0,1,4,5
35	757	0,1,4,5
36	4	0,1
36	7	3,5
36	71	3,4,5
36	443	3,4,5
36	446	3,4,5
36	489	0
36	492	0
36	506	0
36	507	0
36	763	0,1,2,3
36	764	0,1,2,3
36	765	0,1,2,3
36	766	0,1,2,3
36	771	0,1
36	772	0,1
36	773	0,1,2,3
37	4	0,1
37	7	3,5
37	71	3,4,5
37	443	3,4,5
37	446	3,4,5
37	489	0
37	492	0
37	506	0
37	507	0
37	763	0,1,2,3
37	764	0,1,2,3
37	765	0,1,2,3
37	766	0,1,2,3
37	771	0,1
37	772	0,1
37	773	0,1,2,3
37	775	0,1,2,3,4,5
38	7	5,6
38	513	6
38	514	6
39	7	5,6
39	513	6
39	514	6
41	489	0
41	492	0
41	503	0
41	504	0
41	511	0
42	0	0,3|0,4
42	4	0,1
42	7	0,2
42	489	1
42	492	1
42	506	1
42	507	1
42	513	2
42	514	2
42	765	0,1,2,3|0,1,2,4|0,1,3,4|0,2,3,4
42	766	0,1,2,3|0,1,2,4|0,1,3,4|0,2,3,4
43	0	0,3
43	4	0,1
43	7	0,2
43	457	3
43	458	3
43	489	1
43	492	1
43	506	1
43	507	1
43	513	2
43	514	2
43	765	0,1,2,3
43	766	0,1,2,3
43	769	0,2
43	770	0,2
43	771	0,1
43	772	0,1
44	0	1,3
44	4	0,1
44	7	1,2
44	457	3
44	458	3
44	489	0
44	492	0
44	506	0
44	507	0
44	513	2
44	514	2
44	765	0,1,2,3
44	766	0,1,2,3
44	769	1,2
44	770	1,2
44	771	0,1
44	772	0,1
45	4	0,2
45	7	0,3
45	489	2
45	492	2
45	506	2
45	507	2
45	513	3
45	514	3
45	765	0,1,2,3
45	766	0,1,2,3
45	769	0,3
45	770	0,3
45	771	0,2
45	772	0,2
46	0	0,3|0,4
46	4	0,1
46	7	0,2
46	489	1
46	492	1
46	506	1
46	507	1
46	513	2
46	514	2
46	765	0,1,2,3|0,1,2,4|0,1,3,4|0,2,3,4
46	766	0,1,2,3|0,1,2,4|0,1,3,4|0,2,3,4
47	0	0,3|0,4
47	4	0,1
47	7	0,2
47	489	1
47	492	1
47	506	1
47	507	1
47	513	2
47	514	2
