#种子 0xf00d	NCONF 100	环大小 5
#花样	杂化	元素	双键伙伴	l0	l1	l2	l3	l4	a0	a1	a2	a3	a4	t0	t1	t2	Q	phi	SMILES
22222f1	22222	CNCCC	O,-,O,-,-	1.373654	1.367043	1.460065	1.380578	1.459868	107.032907	110.774226	107.184311	107.463883	107.412719	3.620175	-2.106257	0.000000	0.032223	1.3253	O[CH]1CCCC[CH]1N2C(=O)C3=C(C=CC=C3)C2=O
22222f1	22222	CNCCC	O,-,O,-,-	1.378821	1.379717	1.459483	1.378086	1.460189	106.849997	110.526808	106.920538	107.685384	107.760301	4.878780	-2.559365	0.000000	0.045263	6.2382	O=C1N(C(=O)C2=C1C=CC=C2)C3=C4C=CC=CC4=CC=C3
22222f1	22222	CNCCC	O,-,O,-,-	1.380811	1.378930	1.459930	1.377419	1.459207	106.999215	110.403482	106.956413	107.762272	107.687949	4.515945	-3.126433	0.000000	0.039016	8.5666	CC1=C(C=CC=C1)N2C(=O)C3=C(C=CC=C3)C2=O
22222f1	22222	CNCCC	O,-,O,-,-	1.382917	1.382917	1.458683	1.374996	1.458682	107.321109	109.876858	107.321120	107.740440	107.740472	0.000168	-0.000178	0.000000	0.000002	6.0073	O=C1N(C2=CC=CC=C2)C(=O)C3=C1C=CC=C3
22222f1	22222	CNCCC	O,-,O,-,-	1.383147	1.383083	1.458638	1.374926	1.458598	107.348153	109.833131	107.344973	107.739393	107.734349	0.000827	-0.000503	0.000000	0.000007	0.4284	O=C1N(C2=CC3=C(C=CC=C3)C=C2)C(=O)C4=C1C=CC=C4
22222f1	22222	CNCNN	-,-,N,-,-	1.354490	1.365725	1.385846	1.399346	1.310684	112.586409	110.516029	100.901694	114.129186	101.854556	-0.947164	1.136214	0.000000	0.009764	12.2394	COC1(C=NN=C2N1C=NN2)OC
22222f1	22222	CNCNN	-,-,N,-,-	1.378563	1.397386	1.423752	1.383545	1.311143	115.521526	107.416948	100.969687	114.905568	101.186227	-0.052749	0.069396	0.000000	0.000595	15.3072	COc1ccc(cc1OC)N2C=NN3C2=NNc4c3[nH]c5c4cccc5
22222f1	22222	CNNCN	O,-,-,N,-	1.412619	1.410694	1.375451	1.353099	1.376340	106.173845	108.498889	105.001514	110.630362	108.806419	6.059616	-9.471337	0.000000	0.082432	4.3390	c1cc(ccc1N2C(=O)N3CCCN=C3N2)F
22222f1	22222	COCCC	O,-,C,-,-	1.373250	1.404983	1.446788	1.378149	1.456589	107.796365	108.026294	109.305197	105.818949	109.053196	0.000206	-0.000090	0.000000	0.000002	13.4094	O=C1OC(=C2OC(=O)C3=C2C=CC=C3)C4=C1C=CC=C4
22222f1	22222	COCCC	O,-,C,-,-	1.374227	1.402068	1.442970	1.376937	1.457966	107.902627	107.673158	109.750385	105.744889	108.928714	-0.128853	0.047770	0.000000	0.001356	17.7787	O=C1OC(=CC2=CC=CC=C2)C3=C1C=CC=C3
22222f1	22222	COCCC	O,-,O,-,-	1.356211	1.356211	1.454593	1.370322	1.454593	105.992503	112.561486	105.992502	107.726765	107.726743	-0.000032	-0.000089	0.000000	0.000002	7.7096	O=C1OC(=O)C2=C(C3=CC=CC=C3)C4=C(C=CC=C4)C(=C12)C5=CC=CC=C5
22222f1	22222	COCCC	O,-,O,-,-	1.356285	1.361184	1.453253	1.370091	1.444169	105.778463	112.314503	106.250878	106.963153	108.693003	0.000076	-0.000039	0.000000	0.000001	6.2388	O=C1OC(=O)C2=C3C=CC=CC3=CC=C12
22222f1	22222	COCCC	O,-,O,-,-	1.358981	1.365647	1.453104	1.357450	1.438452	106.194677	112.255340	105.084847	108.413101	108.052034	-0.000009	0.000011	0.000000	0.000000	13.5557	C1(OC(=O)C2=C1C=CC=N2)=O
22222f1	22222	COCCC	O,-,O,-,-	1.361291	1.361883	1.444012	1.361634	1.436863	105.495961	112.222039	105.915536	107.535255	108.831208	0.000022	-0.000007	0.000000	0.000000	17.2042	C1(OC(=O)C2=C1C=NC=C2)=O
22222f1	22222	NCCCC	-,-,-,-,-	1.358010	1.458383	1.340255	1.456763	1.359672	109.864842	107.085889	107.838882	107.414783	107.464330	5.573338	-3.192390	0.000000	0.051145	2.5032	CC1=C2NC(=C1CCC(O)=O)C=C3N=C(C=C4NC(=CC5=NC(=C2)C(=C5C)C=C)C(=C4C)C=C)C(=C3CCC(O)=O)C
22222f1	22222	NCCCC	-,-,-,-,-	1.360385	1.461831	1.342470	1.467713	1.362443	109.426807	107.551624	108.187215	106.780963	108.049203	-0.013358	0.387635	0.000000	0.005782	0.8709	CC1=C2NC(=C1CCC(O)=O)C=C3N=C(C=C4NC(=CC5=NC(=C2)C(=C5C)C=C)C(=C4C)C=C)C(=C3CCC(O)=O)C
22222f1	22222	NCCCC	-,-,-,O,O	1.390971	1.393922	1.464200	1.555108	1.381537	111.012419	111.545477	107.040759	105.140241	105.261104	0.000129	-0.000018	0.000000	0.000002	3.9643	BrC1=CC2=C(NC(=O)C2=O)C=C1
22222f1	22222	NCCCC	-,-,-,O,O	1.394320	1.395147	1.464266	1.552859	1.380315	111.202744	111.106577	107.276806	105.107914	105.305959	-0.000001	-0.000004	0.000000	0.000000	4.0198	CC1=CC=CC2=C1NC(=O)C2=O
22222f1	22222	NCCCC	-,O,-,-,O	1.359342	1.466541	1.388123	1.462417	1.359087	113.877198	104.960077	107.903855	107.481626	105.419624	3.446106	0.040346	0.000000	0.052489	0.3875	ON1C(=O)C2=C(C=CC=C2)C1=O
22222f1	22222	NCCCC	-,O,-,-,O	1.364195	1.463011	1.382191	1.463011	1.364195	113.333676	105.473942	107.859219	107.859219	105.473942	0.000008	-0.000002	0.000000	0.000000	12.1868	[O-][N+](=O)N1C(=O)C2=C(C=CC=C2)C1=O
22222f1	22222	NCCCC	-,O,-,-,O	1.364195	1.463011	1.382191	1.463011	1.364195	113.333676	105.473942	107.859219	107.859220	105.473942	-0.000003	-0.000001	0.000000	0.000000	10.8717	OCC1=CC=CC=C1.[O-][N+](=O)N2C(=O)C3=C(C=CC=C3)C2=O
22222f1	22222	NCCCC	-,O,-,-,O	1.365614	1.462024	1.383767	1.462024	1.365614	112.106174	106.386691	107.554654	107.554658	106.386690	-0.623994	-0.000020	0.000000	0.009320	0.0011	BrCN1C(=O)C2=C(C=CC=C2)C1=O
