#种子 0xf00d	NCONF 100
#花样	杂化	元素	双键伙伴	l0	l1	l2	l3	l4	l5	a0	a1	a2	a3	a4	a5	t0	t1	t2	Q	theta	SMILES
222222f1	222222	CCCCCC	-,O,-,-,O,-	1.510825	1.468272	1.386947	1.470490	1.491159	1.346378	117.919856	119.929304	120.400009	120.369089	118.029098	123.273770	-2.401435	0.888753	1.646044	0.029066	86.1410	CCCCCCCCCCCCCCNC1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O
222222f1	222222	CCCCCC	-,O,-,-,O,-	1.513053	1.473868	1.388048	1.469582	1.486247	1.348277	117.986581	119.078266	120.850313	120.409924	117.639696	123.838560	3.943398	-0.307619	-3.164296	0.047039	85.2042	CN(C)C1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O
222222f1	222222	CCCCCC	-,O,-,-,O,-	1.513181	1.475938	1.388662	1.469325	1.484421	1.347236	117.808006	118.977409	121.001562	120.388474	117.452568	124.313049	-2.155977	0.130836	1.711978	0.025753	84.0444	CCNC1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O
222222f1	222222	CCCCCC	O,-,-,O,-,-	1.469166	1.388226	1.470538	1.490036	1.349047	1.501424	119.357436	120.351070	120.384173	118.402145	122.020817	119.121035	-0.728268	0.760928	3.309150	0.054671	60.0512	O=C1C(=C(OC2=CC=CC=C2)C(=O)C3=CC=CC=C13)NC4=CC=CC=C4
222222f1	222222	CCCCCC	O,-,-,O,-,-	1.487894	1.338921	1.475249	1.473560	1.392608	1.477247	118.057213	120.493308	122.655926	117.794012	120.307117	120.692243	0.017187	0.095200	-0.158926	0.001339	71.9812	CC1=CC2=C(C=C1)C(=O)C(=CC2=O)C
222222f1	222222	CCCCCN	-,-,-,-,C,-	1.339999	1.443152	1.344290	1.476902	1.420828	1.395187	123.638770	118.584651	120.328280	121.672664	115.847586	119.914445	0.055977	0.706760	-0.472057	0.010937	77.3257	C1(=C2N(C=CC=C2)CCC1=O)C#N
222222f1	222222	CCCCCN	-,-,-,-,C,-	1.340009	1.443249	1.344460	1.473925	1.426156	1.396737	123.785710	118.553332	120.324676	121.812798	115.876174	119.647310	-0.000005	-0.000009	0.000019	0.000000	70.0173	C12N(C=CC=C1)CC=CC=2Br
222222f1	222222	CCCCCN	-,-,-,-,C,-	1.340075	1.443841	1.345117	1.472346	1.423551	1.396157	123.688859	118.551666	120.403409	121.561141	116.137829	119.657095	-0.000021	0.000023	-0.000007	0.000000	78.6161	C12N(C=CC=C1)CC=CC=2O
222222f1	222222	CCCCCN	-,-,-,-,C,-	1.341900	1.447285	1.344739	1.464241	1.410859	1.396267	123.464173	118.753730	120.146397	120.988251	117.507916	119.139532	-0.000013	-0.000004	0.000022	0.000000	75.6272	C12N(CC=C(C=1)Br)C=CC=C2
222222f1	222222	CCCCCN	-,-,-,-,C,-	1.341911	1.447309	1.344724	1.464025	1.411739	1.396347	123.471330	118.768053	120.152836	120.978054	117.532323	119.097404	-0.000027	0.000000	0.000034	0.000000	79.0159	C12N(CC=C(C=1)Cl)C=CC=C2
222222f1	222222	CCCCCN	-,-,-,-,C,-	1.342025	1.447592	1.344831	1.464264	1.408386	1.395738	123.405204	118.728984	120.128670	120.981792	117.484490	119.266603	0.301100	0.226438	-0.688500	0.006475	75.9488	C12N(CC=C(C=1)NC3C=CC=CC=3)C=CC=C2
222222f1	222222	CCCCCN	-,-,-,-,C,-	1.344269	1.456683	1.348090	1.454803	1.400574	1.379690	121.390543	119.030598	120.778364	119.644664	117.605277	121.550555	-0.000002	-0.000004	0.000003	0.000000	72.3635	C1(=C2N(C=CC=C2)CC1=O)C#N
222222f1	222222	CCCCCN	-,-,-,-,N,-	1.341434	1.449121	1.342670	1.500245	1.398287	1.388726	122.540799	119.462209	121.593528	117.826210	118.880251	119.651410	-0.754781	0.442549	1.160574	0.019845	67.1072	C1CN2C=CC=CC2=NC1=O
222222f1	222222	CCCCCN	-,-,-,-,N,-	1.344219	1.452463	1.343365	1.502099	1.396390	1.393722	123.163391	118.794388	121.643226	118.247645	118.674543	119.476796	0.001672	-0.019150	0.007679	0.000321	74.7269	CC1=NC2=C(CN1C)CN3C=C(C=CC3=N2)Br
222222f1	222222	CCCCNC	-,-,-,-,-,C	1.344901	1.447535	1.341913	1.395830	1.410832	1.464229	120.995797	120.161032	118.742624	123.421203	119.238151	117.441193	0.000028	-0.000034	-0.000019	0.000001	72.4315	N12C(=CC=C(C1)O)C=CC=C2
222222f1	222222	CCCNNC	-,-,-,-,-,-	1.489555	1.419917	1.427603	1.374247	1.379190	1.345322	116.764843	118.722748	119.878400	117.893595	121.215885	123.859231	-3.730379	12.534896	-15.818684	0.113975	59.6898	CC1=CNNc2c1cccc2
222222f1	222222	CCNCCN	-,-,-,-,N,-	1.345989	1.384848	1.304536	1.454806	1.321233	1.375277	118.233385	124.622131	116.406709	121.049561	119.795292	119.892921	0.000164	-0.000362	0.000330	0.000003	70.3960	C1CN2C=CN=C(C2=[NH+]1)Cl
222222f1	222222	CNCCNC	C,-,-,-,-,O	1.392585	1.348638	1.407330	1.374461	1.377655	1.539000	118.102731	122.212474	119.312611	122.837978	120.880785	116.653422	0.000000	0.000014	0.000003	0.000000	65.9990	CCOC(=O)C=C1C(=O)Nc2c(non2)N1
222222f1	222222	CNCCNC	C,-,-,-,-,O	1.399305	1.349615	1.404875	1.372110	1.378341	1.548552	117.512740	122.245637	119.612547	122.739209	121.161031	116.628774	1.340603	0.283883	0.376172	0.028998	55.1163	COC(=O)/C=C/1\\C(=O)Nc2c(non2)N1
