#种子 0xbeef	NCONF 100
#花样	杂化	元素	双键伙伴	l0	l1	l2	l3	l4	l5	a0	a1	a2	a3	a4	a5	t0	t1	t2	Q	theta	SMILES
222222f1	222222	CCCCCC	-,O,-,-,O,-	1.512992	1.475951	1.388684	1.469332	1.484352	1.347230	117.810240	118.965929	120.999815	120.385657	117.442610	124.313423	-2.557736	0.159090	2.003663	0.030416	83.5914	CCCCCCCCCCCCCCNC1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O
222222f1	222222	CCCCCC	-,O,-,-,O,-	1.513053	1.473868	1.388048	1.469582	1.486247	1.348277	117.986548	119.078279	120.850307	120.409926	117.639680	123.838562	-3.943859	0.307767	3.164521	0.047043	85.2037	CN(C)C1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O
222222f1	222222	CCCCCC	-,O,-,-,O,-	1.513181	1.475938	1.388661	1.469325	1.484421	1.347236	117.807998	118.977419	121.001551	120.388474	117.452581	124.313036	2.155793	-0.130397	-1.712471	0.025755	84.0498	CCNC1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O
222222f1	222222	CCCCCC	O,-,-,O,-,-	1.468896	1.387945	1.470518	1.492674	1.348323	1.502017	119.503893	120.339968	120.377044	118.268681	121.930488	119.071345	0.046706	4.242418	-8.540238	0.063387	57.1232	O=C1C(=C(OC2=CC=CC=C2)C(=O)C3=CC=CC=C13)NC4=CC=CC=C4
222222f1	222222	CCCCCC	O,-,-,O,-,-	1.487894	1.338921	1.475249	1.473560	1.392608	1.477247	118.057214	120.493305	122.655932	117.794008	120.307111	120.692249	0.017216	0.095183	-0.158940	0.001339	71.9825	CC1=CC2=C(C=C1)C(=O)C(=CC2=O)C
222222f1	222222	CCCCCN	-,-,-,-,C,-	1.339999	1.443152	1.344290	1.476902	1.420828	1.395187	123.638770	118.584651	120.328280	121.672664	115.847586	119.914444	-0.055980	-0.706758	0.472058	0.010937	77.3257	C1(=C2N(C=CC=C2)CCC1=O)C#N
222222f1	222222	CCCCCN	-,-,-,-,C,-	1.340009	1.443249	1.344460	1.473925	1.426156	1.396737	123.785710	118.553328	120.324677	121.812802	115.876171	119.647312	-0.000024	0.000004	0.000003	0.000000	56.2969	C12N(C=CC=C1)CC=CC=2Br
222222f1	222222	CCCCCN	-,-,-,-,C,-	1.340075	1.443841	1.345116	1.472346	1.423551	1.396157	123.688850	118.551676	120.403407	121.561134	116.137834	119.657099	0.000023	-0.000004	-0.000037	0.000001	69.1169	C12N(C=CC=C1)CC=CC=2O
222222f1	222222	CCCCCN	-,-,-,-,C,-	1.341900	1.447285	1.344739	1.464241	1.410859	1.396267	123.464172	118.753730	120.146396	120.988254	117.507915	119.139533	0.000031	0.000011	-0.000051	0.000001	78.8818	C12N(CC=C(C=1)Br)C=CC=C2
222222f1	222222	CCCCCN	-,-,-,-,C,-	1.341911	1.447309	1.344724	1.464025	1.411739	1.396347	123.471329	118.768055	120.152836	120.978054	117.532324	119.097403	-0.000029	-0.000004	0.000044	0.000000	77.2181	C12N(CC=C(C=1)Cl)C=CC=C2
222222f1	222222	CCCCCN	-,-,-,-,C,-	1.342025	1.447592	1.344831	1.464264	1.408386	1.395738	123.405206	118.728985	120.128668	120.981794	117.484489	119.266600	-0.301106	-0.226431	0.688493	0.006475	75.9492	C12N(CC=C(C=1)NC3C=CC=CC=3)C=CC=C2
222222f1	222222	CCCCCN	-,-,-,-,C,-	1.344269	1.456683	1.348090	1.454803	1.400574	1.379690	121.390543	119.030598	120.778363	119.644666	117.605276	121.550555	0.000001	0.000001	-0.000003	0.000000	62.6952	C1(=C2N(C=CC=C2)CC1=O)C#N
222222f1	222222	CCCCCN	-,-,-,-,N,-	1.341434	1.449121	1.342670	1.500245	1.398287	1.388726	122.540799	119.462209	121.593528	117.826210	118.880251	119.651410	0.754774	-0.442545	-1.160574	0.019845	67.1071	C1CN2C=CC=CC2=NC1=O
222222f1	222222	CCCCCN	-,-,-,-,N,-	1.344219	1.452463	1.343365	1.502099	1.396390	1.393722	123.163389	118.794388	121.643227	118.247645	118.674541	119.476799	-0.001656	0.019141	-0.007676	0.000321	74.7136	CC1=NC2=C(CN1C)CN3C=C(C=CC3=N2)Br
222222f1	222222	CCCCNC	-,-,-,-,-,C	1.344901	1.447535	1.341913	1.395830	1.410833	1.464229	120.995791	120.161034	118.742639	123.421185	119.238148	117.441202	0.000088	-0.000017	-0.000082	0.000001	84.0859	N12C(=CC=C(C1)O)C=CC=C2
222222f1	222222	CCCNNC	-,-,-,-,-,-	1.489555	1.419917	1.427603	1.374247	1.379191	1.345322	116.764847	118.722750	119.878387	117.893594	121.215868	123.859212	-3.730316	12.534987	-15.818907	0.113977	59.6900	CC1=CNNc2c1cccc2
222222f1	222222	CCNCCN	-,-,-,-,N,-	1.345989	1.384848	1.304536	1.454806	1.321233	1.375277	118.233366	124.622153	116.406688	121.049578	119.795275	119.892940	0.000127	-0.000065	-0.000098	0.000002	78.9056	C1CN2C=CN=C(C2=[NH+]1)Cl
