#种子 0xbeef	NCONF 100	环大小 5
#花样	杂化	元素	双键伙伴	l0	l1	l2	l3	l4	a0	a1	a2	a3	a4	t0	t1	t2	Q	phi	SMILES
22222f1	22222	CNCCC	O,-,O,-,-	1.373654	1.367043	1.460064	1.380578	1.459868	107.032900	110.774231	107.184313	107.463877	107.412726	3.620166	-2.106233	0.000000	0.032223	1.3257	O[CH]1CCCC[CH]1N2C(=O)C3=C(C=CC=C3)C2=O
22222f1	22222	CNCCC	O,-,O,-,-	1.378820	1.379717	1.459484	1.378086	1.460189	106.850040	110.526798	106.920484	107.685387	107.760278	4.879239	-2.559727	0.000000	0.045267	6.2361	O=C1N(C(=O)C2=C1C=CC=C2)C3=C4C=CC=CC4=CC=C3
22222f1	22222	CNCCC	O,-,O,-,-	1.378930	1.380811	1.459207	1.377419	1.459929	106.956401	110.403482	106.999214	107.687913	107.762316	-4.124201	2.047461	0.000000	0.039017	8.5652	CC1=C(C=CC=C1)N2C(=O)C3=C(C=CC=C3)C2=O
22222f1	22222	CNCCC	O,-,O,-,-	1.382918	1.382918	1.458683	1.374995	1.458682	107.321167	109.876842	107.321041	107.740553	107.740397	-0.000010	-0.000018	0.000000	0.000000	11.8132	O=C1N(C2=CC=CC=C2)C(=O)C3=C1C=CC=C3
22222f1	22222	CNCCC	O,-,O,-,-	1.383083	1.383147	1.458598	1.374925	1.458638	107.344980	109.833138	107.348120	107.734385	107.739377	0.000046	-0.000026	0.000000	0.000000	2.9115	O=C1N(C2=CC3=C(C=CC=C3)C=C2)C(=O)C4=C1C=CC=C4
22222f1	22222	CNCNN	-,-,N,-,-	1.354490	1.365725	1.385846	1.399346	1.310684	112.586409	110.516028	100.901696	114.129182	101.854557	0.947204	-1.136252	0.000000	0.009764	12.2387	COC1(C=NN=C2N1C=NN2)OC
22222f1	22222	CNCNN	-,-,N,-,-	1.378564	1.397385	1.423752	1.383544	1.311144	115.521510	107.416917	100.969756	114.905532	101.186242	-0.052727	0.069318	0.000000	0.000594	15.2554	COc1ccc(cc1OC)N2C=NN3C2=NNc4c3[nH]c5c4cccc5
22222f1	22222	CNNCN	O,-,-,N,-	1.412619	1.410694	1.375451	1.353099	1.376340	106.173843	108.498894	105.001507	110.630367	108.806418	-6.059625	9.471339	0.000000	0.082432	4.3391	c1cc(ccc1N2C(=O)N3CCCN=C3N2)F
22222f1	22222	COCCC	O,-,C,-,-	1.373250	1.404983	1.446788	1.378148	1.456589	107.796316	108.026310	109.305197	105.818913	109.053264	-0.000313	0.000275	0.000000	0.000003	9.6744	O=C1OC(=C2OC(=O)C3=C2C=CC=C3)C4=C1C=CC=C4
22222f1	22222	COCCC	O,-,C,-,-	1.374227	1.402068	1.442970	1.376937	1.457966	107.902625	107.673165	109.750381	105.744894	108.928707	-0.128821	0.047791	0.000000	0.001356	17.7953	O=C1OC(=CC2=CC=CC=C2)C3=C1C=CC=C3
22222f1	22222	COCCC	O,-,O,-,-	1.356211	1.356211	1.454593	1.370322	1.454593	105.992510	112.561471	105.992517	107.726751	107.726751	-0.000234	0.000201	0.000000	0.000002	9.1194	O=C1OC(=O)C2=C(C3=CC=CC=C3)C4=C(C=CC=C4)C(=C12)C5=CC=CC=C5
22222f1	22222	COCCC	O,-,O,-,-	1.356285	1.361184	1.453253	1.370091	1.444169	105.778460	112.314500	106.250881	106.963149	108.693010	0.000208	-0.000140	0.000000	0.000002	8.8258	O=C1OC(=O)C2=C3C=CC=CC3=CC=C12
22222f1	22222	COCCC	O,-,O,-,-	1.358981	1.365647	1.453105	1.357450	1.438452	106.194677	112.255341	105.084847	108.413101	108.052034	0.000126	-0.000050	0.000000	0.000001	15.0646	C1(OC(=O)C2=C1C=CC=N2)=O
22222f1	22222	COCCC	O,-,O,-,-	1.361291	1.361883	1.444012	1.361634	1.436863	105.495962	112.222040	105.915536	107.535259	108.831203	0.000008	-0.000009	0.000000	0.000000	8.9153	C1(OC(=O)C2=C1C=NC=C2)=O
22222f1	22222	NCCCC	-,-,-,-,-	1.357952	1.458063	1.340419	1.456542	1.359681	109.884344	106.992166	107.873389	107.334621	107.474437	6.746817	-4.504345	0.000000	0.059182	6.2880	CC1=C2NC(=C1CCC(O)=O)C=C3N=C(C=C4NC(=CC5=NC(=C2)C(=C5C)C=C)C(=C4C)C=C)C(=C3CCC(O)=O)C
22222f1	22222	NCCCC	-,-,-,-,-	1.360201	1.461668	1.342680	1.467993	1.362147	109.438827	107.551910	108.188477	106.752740	108.042618	-0.452097	1.251844	0.000000	0.014322	15.3796	CC1=C2NC(=C1CCC(O)=O)C=C3N=C(C=C4NC(=CC5=NC(=C2)C(=C5C)C=C)C(=C4C)C=C)C(=C3CCC(O)=O)C
22222f1	22222	NCCCC	-,-,-,O,O	1.390970	1.393922	1.464200	1.555107	1.381537	111.012371	111.545515	107.040728	105.140231	105.261154	0.000081	-0.000079	0.000000	0.000001	5.4203	BrC1=CC2=C(NC(=O)C2=O)C=C1
22222f1	22222	NCCCC	-,-,-,O,O	1.394320	1.395147	1.464266	1.552859	1.380315	111.202745	111.106573	107.276808	105.107914	105.305960	0.000007	-0.000004	0.000000	0.000000	1.0049	CC1=CC=CC2=C1NC(=O)C2=O
22222f1	22222	NCCCC	-,O,-,-,O	1.359342	1.466541	1.388123	1.462418	1.359087	113.877190	104.960069	107.903852	107.481630	105.419619	-3.446217	-0.040318	0.000000	0.052490	0.3872	ON1C(=O)C2=C(C=CC=C2)C1=O
22222f1	22222	NCCCC	-,O,-,-,O	1.364195	1.463011	1.382191	1.463011	1.364195	113.333676	105.473942	107.859220	107.859219	105.473942	-0.000033	-0.000001	0.000000	0.000001	1.1647	OCC1=CC=CC=C1.[O-][N+](=O)N2C(=O)C3=C(C=CC=C3)C2=O
22222f1	22222	NCCCC	-,O,-,-,O	1.364195	1.463011	1.382191	1.463011	1.364195	113.333676	105.473943	107.859219	107.859220	105.473942	0.000002	-0.000002	0.000000	0.000000	17.8720	[O-][N+](=O)N1C(=O)C2=C(C=CC=C2)C1=O
22222f1	22222	NCCCC	-,O,-,-,O	1.365614	1.462024	1.383767	1.462024	1.365614	112.106173	106.386688	107.554657	107.554655	106.386694	-0.624011	-0.000019	0.000000	0.009320	0.0010	BrCN1C(=O)C2=C(C=CC=C2)C1=O
22222f1	22222	NCCCC	-,O,-,-,O	1.366080	1.462069	1.384136	1.462069	1.366080	112.087898	106.384695	107.557386	107.557384	106.384690	0.988746	0.000003	0.000000	0.014771	0.0001	N1(C(C2C=CC=CC(C1=O)=2)=O)CC(=O)OCC
22222f1	22222	NCCCC	-,O,-,-,O	1.366300	1.461740	1.384616	1.462885	1.366262	112.151697	106.425519	107.496730	107.640631	106.283969	0.361137	-0.206296	0.000000	0.003407	3.1126	N1(C(C2C=CC=CC(C1=O)=2)=O)CC(=O)CCl
22222f1	22222	NCCCC	-,O,-,-,O	1.366998	1.460656	1.383339	1.462358	1.368416	111.624367	106.763765	107.429320	107.588054	106.546629	-1.444707	0.180662	0.000000	0.019363	4.7975	OCCN1C(=O)C2=C(C=CC=C2)C1=O
22222f1	22222	NCCCC	-,O,-,-,O	1.367981	1.461882	1.383671	1.461882	1.367981	111.801737	106.488581	107.555502	107.555495	106.488585	-1.966211	-0.000012	0.000000	0.029364	0.0002	BrCCN1C(=O)C2=C(C=CC=C2)C1=O
22222f1	22222	NCCCC	-,O,-,-,O	1.368249	1.461512	1.383013	1.461516	1.369349	111.740297	106.556310	107.583800	107.585262	106.524463	0.652925	-0.079237	0.000000	0.008798	4.6271	BrCCCCN1C(=O)C2=C(C=CC=C2)C1=O
22222f1	22222	NCCCC	-,O,-,-,O	1.368561	1.461826	1.383242	1.461826	1.368561	111.850650	106.458682	107.598210	107.598209	106.458683	1.117458	0.000006	0.000000	0.016696	0.0002	CCN1C(=O)C2=C(C=CC=C2)C1=O
22222f1	22222	NCCCC	-,O,-,-,O	1.368703	1.461988	1.383411	1.461470	1.367742	111.819125	106.412998	107.609168	107.542326	106.505483	-1.954242	-0.021446	0.000000	0.029475	0.3737	CCCCCCCCC=CCCCCCCCC(=O)OCCN1C(=O)C2=C(C=CC=C2)C1=O
22222f1	22222	NCCCC	-,O,-,-,O	1.368821	1.461572	1.383060	1.461684	1.368649	111.825188	106.488485	107.595860	107.610826	106.478794	-0.166865	-0.006827	0.000000	0.002577	1.3590	CCCCN1C(=O)C2=C(C=CC=C2)C1=O
22222f1	22222	NCCCC	-,O,-,-,O	1.368833	1.461589	1.383066	1.461707	1.368644	111.825187	106.488600	107.595323	107.610835	106.478783	0.207179	0.004951	0.000000	0.003156	0.8048	CCCN1C(=O)C2=C(C=CC=C2)C1=O
22222f1	22222	NCCCC	-,O,-,-,O	1.369232	1.462062	1.383696	1.462062	1.369232	112.504912	105.959301	107.788244	107.788235	105.959308	-0.000054	-0.000014	0.000000	0.000001	7.0690	BrN1C(=O)C2=C(C=CC=C2)C1=O
22222f1	22222	NCCCC	-,O,O,-,-	1.401139	1.538206	1.453843	1.393252	1.421449	109.220347	105.933431	106.032094	107.441051	111.373076	0.000058	-0.000066	0.000000	0.000001	10.7381	CC(=O)N1C(=O)C(=O)C2=C1C=CC=C2
22222f1	22222	NCCNC	-,-,-,-,O	1.286814	1.514889	1.285423	1.504052	1.520010	100.896083	112.940342	112.471107	101.645670	112.046797	0.000000	0.000006	0.000000	0.000000	0.4693	c1c2=[NH+]C(=O)[NH+]=c2ncn1
22222f1	22222	NCCNN	-,-,N,-,-	1.287609	1.457673	1.358808	1.271401	1.445849	105.181666	107.528077	108.045540	106.292694	112.952022	0.000144	-0.000207	0.000000	0.000002	7.7177	C1C(=CN=C2C1=NN=N2)O
22222f1	22222	NCNCN	-,O,-,N,-	1.384755	1.432155	1.356381	1.367551	1.510513	109.464833	103.995033	111.924384	110.252506	104.357900	-0.762923	0.655129	0.000000	0.006510	17.6597	CN1C(=O)N2CCC[NH+]=C2N1
22222f1	22222	NCNNN	-,N,-,-,-	1.368794	1.326807	1.418238	1.371054	1.283250	109.958764	109.957504	104.175687	108.242290	107.646493	-0.447374	-0.408206	0.000000	0.011761	17.8416	C1C[NH+]=C2N=NNN2N1
22222f1	22222	OCCCC	-,C,-,-,O	1.404982	1.446788	1.378148	1.456589	1.373250	108.026251	109.305166	105.819028	109.053128	107.796426	0.000237	-0.000159	0.000000	0.000002	6.5152	O=C1OC(=C2OC(=O)C3=C2C=CC=C3)C4=C1C=CC=C4
22222f2	22222	CCCCC	C,-,-,-,-	1.495377	1.412379	1.455350	1.418031	1.492872	107.925190	106.348477	109.709087	109.988516	105.998575	1.099203	-0.050484	0.000000	0.016488	1.4540	C1(C2=C(C=CC=C2)C3=C1C=CC=C3)=C(C(=O)O)F
22222f2	22222	CCCCC	N,-,-,-,-	1.480564	1.401257	1.446156	1.409925	1.487808	106.368729	107.933521	109.094593	109.551406	107.051751	0.000040	-0.000011	0.000000	0.000000	11.0176	ON=C1C2=C(C=CC=C2)C3=CC=CC=C13
22222f2	22222	CCCCC	O,-,-,-,-	1.465286	1.395004	1.448907	1.338920	1.467280	105.954686	107.442444	107.835201	110.274730	108.458012	-0.217638	-1.014274	0.000000	0.016978	6.7878	CC1=C([C@@H](C2=C(N1)c3ccccc3C2=O)c4ccco4)C#N
22222f2	22222	CCCCN	O,-,-,-,-	1.479824	1.368964	1.367162	1.391926	1.389169	105.373475	106.680075	110.087798	108.639586	109.219066	0.000082	-0.000153	0.000000	0.000001	7.2182	c1cc2cccc3c2c(c1)C(=O)N3
22222f2	22222	CNCCC	O,-,-,-,-	1.387209	1.391692	1.368017	1.371098	1.479334	105.290277	109.226569	108.902299	109.615085	106.965642	0.068326	-0.114129	0.000000	0.001001	1.4676	C1(NC2=CC=C(C3=C(C1=CC=C3)2)CN)=O
22222f2	22222	NCCNC	-,-,-,-,C	1.419934	1.433925	1.371351	1.394103	1.389344	105.276189	108.269833	107.311818	108.065493	110.534208	0.314561	4.170776	0.000000	0.065466	2.8454	CN1c2ccccc2N3C1=C(C(=O)C3)C#N
22222f2	22222	NCNCC	-,N,-,-,-	1.378241	1.358528	1.410215	1.406718	1.416538	104.443751	113.204259	106.135819	107.406635	108.788897	1.529832	-1.221960	0.000000	0.012622	14.1030	CC(C)N1C[NH+]=C2Nc3ccccc3N2C1
22222i	22222	CCCCC	C,-,-,-,-	1.454667	1.341746	1.447665	1.342881	1.454741	107.311756	106.940001	109.393632	109.589803	106.764414	0.164777	-0.063533	0.000000	0.001813	16.7193	C[NH+](C)C=C1C=CC=C1
22222i	22222	CCCCC	O,-,-,-,-	1.483738	1.347021	1.462469	1.347021	1.483740	109.395931	104.437215	110.855571	110.855460	104.437217	1.112282	-1.509851	0.000000	0.012125	17.9657	O=C1C(=C(C2=CC=CC=C2)C(=C1C3=CC=CC=C3)C4=CC=CC=C4)C5=CC=CC=C5
22222i	22222	CCCNC	-,-,O,-,O	1.334891	1.489581	1.376515	1.364448	1.470692	109.516369	105.558847	108.689618	108.628407	107.606553	-0.149281	0.118627	0.000000	0.001302	16.7382	OC1=C(C(=O)N(C2=CC=CC=C2)C1=O)C3=CC=CC=C3
